剧情ID,剧情对话1类型,剧情对话1人物方位,剧情对话1人物ID,剧情对话1人物Y轴偏移值,剧情对话1人物动作,"剧情对话1人物
头部转向","剧情对话1人物
身体朝向",剧情对话1文本,语音1,剧情对话2类型,剧情对话2人物方位,剧情对话2人物ID,剧情对话2人物Y轴偏移值,剧情对话2人物动作,"剧情对话2人物
头部转向","剧情对话2人物
身体朝向",剧情对话2文本,语音2,剧情对话3类型,剧情对话3人物方位,剧情对话3人物ID,剧情对话3人物Y轴偏移值,剧情对话3人物动作,"剧情对话3人物
头部转向","剧情对话3人物
身体朝向",剧情对话3文本,语音3,剧情对话4类型,剧情对话4人物方位,剧情对话4人物ID,剧情对话4人物Y轴偏移值,剧情对话4人物动作,"剧情对话4人物
头部转向","剧情对话4人物
身体朝向",剧情对话4文本,语音4,剧情对话5类型,剧情对话5人物方位,剧情对话5人物ID,剧情对话5人物Y轴偏移值,剧情对话5人物动作,"剧情对话5人物
头部转向","剧情对话5人物
身体朝向",剧情对话5文本,语音5,剧情对话6类型,剧情对话6人物方位,剧情对话6人物ID,剧情对话6人物Y轴偏移值,剧情对话6人物动作,"剧情对话6人物
头部转向","剧情对话6人物
身体朝向",剧情对话6文本,语音6,
index,story1Type,actor1Pos,actor1,actor1YOff,actor1Action,actor1HeadRot,actor1Rot,story1Text,voice1,story2Type,actor2Pos,actor2,actor2YOff,actor2Action,actor2HeadRot,actor2Rot,story2Text,voice2,story3Type,actor3Pos,actor3,actor3YOff,actor3Action,actor3HeadRot,actor3Rot,story3Text,voice3,story4Type,actor4Pos,actor4,actor4YOff,actor4Action,actor4HeadRot,actor4Rot,story4Text,voice4,story5Type,actor5Pos,actor5,actor5YOff,actor5Action,actor5HeadRot,actor5Rot,story5Text,voice5,story6Type,actor6Pos,actor6,actor6YOff,actor6Action,actor6HeadRot,actor6Rot,story6Text,voice6,
,"创建剧情,别删",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createchar_01_01,1,1,E:ST0184,0,,10,-48,退后！否则便准备承受我的愤怒与诅咒！,xinshouyindao/v_createchar_01_01_01,1,2,E:ST0135,0,,15,10,只要拥有一块[ffb220]混沌结晶[-]！我就能变得更加强大！它必定属于我！,xinshouyindao/v_createchar_01_01_02,1,1,E:ST0111,0,,10,-48,停止你的妄想吧！路西法！这[ffb220]混沌结晶[-]必定属于阿萨神族！,xinshouyindao/v_createchar_01_01_03,1,1,E:ST0110,0,,10,-48,吵什么，打得过俺老孙，[ffb220]混沌结晶[-]就让给你们！,xinshouyindao/v_createchar_01_01_04,1,2,E:ST0135,,,15,10,哼！那就用实力说话吧！,xinshouyindao/v_createchar_01_01_05,,,,,,,,,,
createchar_02_01,1,2,E:ST0135,40,state:deadly,15,10,（濒死）就让我们在此同归于尽吧！除了地狱无路可退！,xinshouyindao/v_createchar_02_01_01,1,1,E:ST0110,40,state:deadly,10,-48,（濒死）住口……俺老孙……跳出三界外，不……不在五行中，怎可能……,xinshouyindao/v_createchar_02_01_02,1,1,E:ST0111,40,state:deadly,10,-48,（濒死）天空上……那是什么……,xinshouyindao/v_createchar_02_01_03,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
createchar_03_01_01,1,1,$:king,0,,10,-48,停止无谓的战斗吧！世界毁灭的危机近在眼前！,xinshouyindao/v_createchar_03_01_03_01,1,1,E:ST0111,40,state:deadly,10,-48,（濒死）你……你是？,xinshouyindao/v_createchar_03_01_02,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
createchar_03_01_02,1,1,$:king,0,,10,-48,停止无谓的战斗吧！世界毁灭的危机近在眼前！,xinshouyindao/v_createchar_03_01_02_01,1,1,E:ST0111,40,state:deadly,10,-48,（濒死）你……你是？,xinshouyindao/v_createchar_03_01_02,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
createchar_03_01_03,1,1,$:king,0,,10,-48,停止无谓的战斗吧！世界毁灭的危机近在眼前！,xinshouyindao/v_createchar_03_01_01_01,1,1,E:ST0111,40,state:deadly,10,-48,（濒死）你……你是？,xinshouyindao/v_createchar_03_01_02,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
createchar_04_01,1,1,E:ST0184,0,,10,-48,强大的力量……治愈了我！,xinshouyindao/v_createchar_04_01_01,1,1,E:ST0110,0,,10,-48,这恩情犹如再造！请受俺老孙一拜！,xinshouyindao/v_createchar_04_01_02,1,2,E:ST0135,0,,15,10,您是真正的强者！我愿永远追随着您！,xinshouyindao/v_createchar_04_01_03,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,试验用对话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
