对应技能id,备注,,触发时机,目标类型,,,,,,,,
skillId,,icon,applyTime,tarType,,,op,arg0,arg1,arg2,arg3,extArgs
英勇打击,,,hit_target_check,target,,,addbuf,1,英勇打击_减防,1,,
英勇打击,,,hit_caster_check,caster,,,addbuf,0.3,英勇打击_加攻击,1,,
super英勇打击,,,hit_target_check,target,,,addbuf,1,英勇打击_减防,1,,
super英勇打击,,,hit_caster_check,caster,,,addbuf,1,英勇打击_加攻击,1,,
嗜血,,,hit_caster_check,caster,,,addbuf,1,嗜血,1,,
菲奥娜技能,,,hit_caster_check,caster,,,addbuf,1,菲奥娜_无敌,1,,
菲奥娜_反击,,,hit_caster_check,target,,,addbuf,1,菲奥娜_击晕,1,,
盖伦技能,,,cast_check,caster,,,addbuf,1,盖伦技能_免伤,1,,
盖伦技能,,,cast_check,caster,,,addbuf,1,盖伦技能_周期伤害,1,,
盖伦技能,,,onfailed_check,caster,,,removebuf,盖伦技能_免伤,,,,
盖伦技能,,,onfailed_check,caster,,,removebuf,盖伦技能_周期伤害,,,,
